agemax	agemin	age	rocktype	rockname	rockdescrip	rockstratname	rockcomments	refstrings	Latitude	Longitude
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	36.87126	6.08291
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	36.69911	2.80367
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	36.91164	3.85506
66.0	5.333	35.6665	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	36.86782	7.77328
251.902	66.0	158.951	sedimentary rocks	mesozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	36.72913	5.07676
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	35.29777	-1.47177
NaN	NaN	NaN	na	na	na	na	na	NA | NA | NA | NA	34.03527	-6.83498
100.5	66.0	83.25	sedimentary rocks	mesozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	28.68268	-11.11944
66.0	NaN	66.0	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	35.20216	-6.152
2.58	NaN	2.58	sedimentary rocks	cenozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	30.07807	-9.67268
538.8	443.8	491.29999999999995	sedimentary rocks	paleozoic sedimentary rocks				Chorlton, L.B. | 2007 | Generalized geology of the world: bedrock domains and major faults in GIS format: a small-scale world geology map with an extended geological attribute database | doi: 10.4095/223767	33.704	-7.41126
